country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
Haiti,1984,117.1,52.02,6.11,6240330,NA,Americas,Caribbean
Honduras,1984,58.2,66.01,5.8,4111369,4230673875,Americas,Central America
"Hong Kong, China",1984,NA,76.03,1.57,5350467,78828223757,Asia,Eastern Asia
Hungary,1984,21.9,69.07,1.83,10622559,44166753595,Europe,Eastern Europe
Iceland,1984,6.4,77.71,2.17,238647,5601059491,Europe,Northern Europe
India,1984,103.1,56.51,4.36,764664278,196737437362,Asia,Southern Asia
Indonesia,1984,76.2,61.16,3.89,161555584,74753833727,Asia,South-Eastern Asia
Iran,1984,60.8,56.19,6.37,45429019,67992647699,Asia,Southern Asia
Iraq,1984,48.7,58.34,6.28,15204746,NA,Asia,Western Asia
Ireland,1984,9.3,74.87,2.56,3547157,NA,Europe,Northern Europe
Israel,1984,12.8,74.78,3.11,4016229,55746409835,Asia,Western Asia
Italy,1984,11.2,75.51,1.46,56839859,785422754391,Europe,Southern Europe
Jamaica,1984,29.7,74.7,3.39,2284118,6097744435,Americas,Caribbean
Japan,1984,5.8,77.5,1.73,119318921,3117214857804,Asia,Eastern Asia
Jordan,1984,37.1,69.33,6.77,2676515,5248851957,Asia,Western Asia
Kazakhstan,1984,51.4,67.7,3.01,15596920,NA,Asia,Central Asia
Kenya,1984,63.4,61.74,7.05,18942599,7685466665,Africa,Eastern Africa
Kiribati,1984,83,55.56,4.91,62768,46437159.51,Oceania,Micronesia
South Korea,1984,9.2,68.37,1.98,39912900,174686535302,Asia,Eastern Asia
Kuwait,1984,21.1,75.22,4.46,1657920,NA,Asia,Western Asia
Kyrgyz Republic,1984,67.5,64.45,4.1,3933002,NA,Asia,Central Asia
Lao,1984,125.3,48.12,6.37,3579370,733070262.5,Asia,South-Eastern Asia
Latvia,1984,17.8,69.56,2.1,2564006,9545052777,Europe,Northern Europe
Lebanon,1984,35,67.87,3.59,2667229,NA,Asia,Western Asia
Lesotho,1984,79.8,56.83,5.38,1438248,415713707.7,Africa,Southern Africa
Liberia,1984,155.9,48.46,6.92,2163835,1203011422,Africa,Western Africa
Libya,1984,47.6,70.58,6.9,3714264,NA,Africa,Northern Africa
Lithuania,1984,16.1,70.6,2.06,3534804,NA,Europe,Northern Europe
Luxembourg,1984,9.7,72.94,1.45,365795,8413233453,Europe,Western Europe
"Macao, China",1984,NA,73.75,2.02,283672,3122834439,Asia,Eastern Asia
"Macedonia, FYR",1984,46.2,69.92,2.44,1974069,NA,Europe,Southern Europe
Madagascar,1984,110,54.03,6.14,9714342,2819522558,Africa,Eastern Africa
Malawi,1984,144.6,47.26,7.58,6892527,1060647029,Africa,Eastern Africa
Malaysia,1984,19.7,70.14,3.68,15333369,34265500441,Asia,South-Eastern Asia
Maldives,1984,88.8,60.6,7.24,182864,NA,Asia,Southern Asia
Mali,1984,147,45.86,7.09,7692537,1531425622,Africa,Western Africa
Malta,1984,12.8,75.54,2.05,334592,1706584035,Europe,Southern Europe
Mauritania,1984,88.5,57.41,6.22,1718641,837198264.3,Africa,Western Africa
Mauritius,1984,23.9,68.14,2.27,1007503,1783713081,Africa,Eastern Africa
Mexico,1984,47.3,68.97,4.03,75721210,370762913620,Americas,Central America
"Micronesia, Fed. Sts.",1984,45.7,63.86,5.75,83242,NA,Oceania,Micronesia
Moldova,1984,34.5,66.38,2.62,4174621,3355864083,Europe,Eastern Europe
Mongolia,1984,98.3,59.76,5.53,1871087,898768449.5,Asia,Eastern Asia
Montenegro,1984,23.8,73.83,2.1,609433,NA,Europe,Southern Europe
Morocco,1984,80.6,63.33,5.12,22094516,22213551848,Africa,Northern Africa
Mozambique,1984,170.9,49.87,6.42,12968335,1897112587,Africa,Eastern Africa
Namibia,1984,58.7,59.87,6.02,1112044,2257914266,Africa,Southern Africa
Nepal,1984,123.9,53.36,5.57,16337117,2543999958,Asia,Southern Asia
Netherlands,1984,8,76.28,1.49,14396606,233128874303,Europe,Western Europe
New Caledonia,1984,NA,68.65,3.21,151427,1346169194,Oceania,Melanesia
New Zealand,1984,11.6,74.53,2.12,3243078,36847845727,Oceania,Australia and New Zealand
Nicaragua,1984,63.6,68.2,5.59,3619252,3479589248,Americas,Central America
Niger,1984,138.3,44.15,7.77,6652110,1233977824,Africa,Western Africa
Nigeria,1984,123.9,53.36,6.73,81775215,24571584325,Africa,Western Africa
Norway,1984,8.2,76.36,1.66,4133833,102025828220,Europe,Northern Europe
Oman,1984,55.3,67.48,8.3,1430926,9527510186,Asia,Western Asia
Pakistan,1984,116.4,60.09,6.44,89183159,35241221159,Asia,Southern Asia
Panama,1984,31.1,73.13,3.49,2170390,6987841441,Americas,Central America
Papua New Guinea,1984,71.3,54.92,5.31,3583707,2140669593,Oceania,Melanesia
Paraguay,1984,44.4,72.64,5.09,3567750,4710487179,Americas,South America
Peru,1984,73.7,65.18,4.48,19099575,38643726024,Americas,South America
Philippines,1984,50.9,65.53,4.8,52873979,52304826078,Asia,South-Eastern Asia
Poland,1984,18.6,71.03,2.29,37208529,NA,Europe,Eastern Europe
Portugal,1984,17.6,72.94,1.87,9921895,64648016404,Europe,Southern Europe
Puerto Rico,1984,NA,73.89,2.39,3337890,30560478202,Americas,Caribbean
Qatar,1984,24.8,73.27,5.13,341286,NA,Asia,Western Asia
Romania,1984,31.6,70.08,2.18,23013190,48212873920,Europe,Eastern Europe
Russia,1984,25.6,67.53,2.05,141955200,NA,Europe,Eastern Europe
Rwanda,1984,100.9,48.88,8.36,5877556,1490764343,Africa,Eastern Africa
St. Lucia,1984,23.2,69.53,4.01,124468,317943819.5,Americas,Caribbean
St. Vincent and the Grenadines,1984,31,68.43,3.44,103742,199840425.1,Americas,Caribbean
Samoa,1984,31.7,65.51,5.73,159281,178620583.8,Oceania,Polynesia
Saudi Arabia,1984,55.9,70.3,6.81,12674089,127262586722,Asia,Western Asia
Senegal,1984,83.2,53.48,7.16,6246140,2985610845,Africa,Western Africa
Serbia,1984,34.5,71.38,2.31,9192917,NA,Europe,Southern Europe
Seychelles,1984,18.6,69.17,3.31,69463,272105407.2,Africa,Eastern Africa
Sierra Leone,1984,161.5,53.16,6.95,3376371,1020256928,Africa,Western Africa
Singapore,1984,9.4,72.49,1.62,2646981,32013064064,Asia,South-Eastern Asia
Slovak Republic,1984,20.3,70.88,2.25,5129108,25397205025,Europe,Eastern Europe
Slovenia,1984,13.1,71.2,1.79,1925315,NA,Europe,Southern Europe
Solomon Islands,1984,36.5,60.74,6.35,262719,NA,Oceania,Melanesia
South Africa,1984,57.3,59.22,4.4,32204952,103402247100,Africa,Southern Africa
Spain,1984,12,76.38,1.73,38588238,345421593730,Europe,Southern Europe
Sri Lanka,1984,28.2,69.93,3.01,15952350,7900102158,Asia,Southern Asia
Sudan,1984,85.4,57.61,6.54,16559205,6097861523,Africa,Northern Africa
Suriname,1984,46.9,68.79,3.47,367611,850268218.4,Americas,South America
Swaziland,1984,68.9,58,6.46,680253,585916600.3,Africa,Southern Africa
Sweden,1984,6.5,76.86,1.66,8333904,173468954449,Europe,Northern Europe
Switzerland,1984,7.4,76.87,1.54,6416275,187566850048,Europe,Western Europe
Syria,1984,39.1,68.05,6.53,10313485,10316938481,Asia,Western Asia
Tajikistan,1984,97.3,65.34,5.51,4400743,NA,Asia,Central Asia
Tanzania,1984,107,55.26,6.5,21178079,NA,Africa,Eastern Africa
Thailand,1984,40,67.52,2.71,51105438,46438174779,Asia,South-Eastern Asia
Timor-Leste,1984,163.5,50.76,5.32,636670,NA,Asia,South-Eastern Asia
Togo,1984,98.9,55.96,6.96,3140355,873823475.7,Africa,Western Africa
Tonga,1984,21.9,68.04,5.27,93838,131445316.4,Oceania,Polynesia
Trinidad and Tobago,1984,30.5,68.39,3.15,1155701,6974242086,Americas,Caribbean
Tunisia,1984,56.4,67.87,4.65,7127943,11093771860,Africa,Northern Africa
Turkey,1984,75.1,64.49,3.84,48138191,136291980543,Asia,Western Asia
Turkmenistan,1984,84.4,63.18,4.72,3151262,NA,Asia,Central Asia
Uganda,1984,119.3,52.16,7.1,14163214,2661403388,Africa,Eastern Africa
Ukraine,1984,20.1,69.17,2.04,50758512,NA,Europe,Eastern Europe
United Arab Emirates,1984,20.7,68.6,5.14,1280278,60330666087,Asia,Western Asia
United Kingdom,1984,10,74.66,1.8,56337848,908384297622,Europe,Northern Europe
United States,1984,10.9,74.81,1.79,238404223,5790542060028,Americas,Northern America
Uruguay,1984,26.4,71.72,2.55,2992648,13313561256,Americas,South America
Uzbekistan,1984,72.5,67.59,4.62,17712992,NA,Asia,Central Asia
Vanuatu,1984,40.6,59.44,5.28,127094,178284602,Oceania,Melanesia
Venezuela,1984,30.5,70.53,3.86,17057786,83662996974,Americas,South America
West Bank and Gaza,1984,48.1,68.59,6.82,1702974,NA,Asia,Western Asia
Vietnam,1984,43,67.51,4.36,59653092,11453473962,Asia,South-Eastern Asia
Yemen,1984,111.5,54.89,9.22,9402070,NA,Asia,Western Asia
Zambia,1984,102.7,56.17,6.87,6793708,2751916639,Africa,Eastern Africa
Zimbabwe,1984,56,64.63,6.44,8528328,4204992856,Africa,Eastern Africa
Albania,1985,45.9,72.71,3.23,2966799,3134436354,Europe,Southern Europe
Algeria,1985,57.2,67.18,5.98,22565908,44640489378,Africa,Northern Africa
Angola,1985,134.9,47.5,7.21,9745209,7218737860,Africa,Middle Africa
Antigua and Barbuda,1985,NA,72.13,2.09,65744,421426377.3,Americas,Caribbean
Argentina,1985,29,71.46,3.09,30388781,186561877750,Americas,South America
Armenia,1985,51.4,71.7,2.48,3339147,NA,Asia,Western Asia
Aruba,1985,NA,73.18,2.33,63028,NA,Americas,Caribbean
Australia,1985,9.3,75.41,1.92,15791043,244380207223,Oceania,Australia and New Zealand
Austria,1985,10.7,73.95,1.47,7600514,127104769470,Europe,Western Europe
Azerbaijan,1985,79.9,66.37,2.95,6674107,NA,Asia,Western Asia
Bahamas,1985,23.4,67.67,2.86,234684,4540828685,Americas,Caribbean
Bahrain,1985,21.1,70.73,4.36,419425,3709119796,Asia,Western Asia
Bangladesh,1985,117.9,55.47,5.52,93015182,24555449226,Asia,Southern Asia
Barbados,1985,19.5,71.54,1.83,255929,1871718231,Americas,Caribbean
Belarus,1985,16,70.28,2.09,9990966,NA,Europe,Eastern Europe
Belgium,1985,9.9,74.41,1.56,9893499,160430138974,Europe,Western Europe
Belize,1985,41.9,71.34,5.02,164916,294622624,Americas,Central America
Benin,1985,118.9,52.33,6.97,4287263,1353041433,Africa,Western Africa
Bhutan,1985,112.9,56.69,6.31,469010,150142926.5,Asia,Southern Asia
Bolivia,1985,99.5,58.22,5.13,6211549,5199582624,Americas,South America
Bosnia and Herzegovina,1985,24.1,76.95,1.95,4369527,NA,Europe,Southern Europe
Botswana,1985,44.4,62.44,5.57,1182942,1850201316,Africa,Southern Africa
Brazil,1985,61.4,65.76,3.45,136836428,454246661387,Americas,South America
Brunei,1985,11.2,72.41,3.79,223049,4793390472,Asia,South-Eastern Asia
Bulgaria,1985,19.7,71.15,2,8960387,13514491918,Europe,Eastern Europe
Burkina Faso,1985,109,51.08,7.14,7727912,1344647048,Africa,Western Africa
Burundi,1985,106.9,47.08,7.52,4774258,849234363,Africa,Eastern Africa
Cambodia,1985,87.5,55.5,6.21,7743065,NA,Asia,South-Eastern Asia
Cameroon,1985,92.4,57.17,6.7,10381098,9903824534,Africa,Middle Africa
Canada,1985,8,76.31,1.61,25848173,471722414995,Americas,Northern America
Cape Verde,1985,58,66.12,5.88,313976,231351490.4,Africa,Western Africa
Central African Republic,1985,115.7,50.57,5.94,2627424,815141622.8,Africa,Middle Africa
Chad,1985,121.5,52.51,7.12,5092650,1017551897,Africa,Middle Africa
Chile,1985,18.9,71.42,2.66,12108576,29213486581,Americas,South America
China,1985,42.2,65.87,2.65,1052622410,304461029668,Asia,Eastern Asia
Colombia,1985,34.1,70.48,3.43,31011686,60653293472,Americas,South America
Comoros,1985,101.8,55.36,6.58,357729,167253101.6,Africa,Eastern Africa
"Congo, Dem. Rep.",1985,125.2,53.28,6.85,29985665,7686243454,Africa,Middle Africa
"Congo, Rep.",1985,63.1,55.94,5.77,2083648,2840863497,Africa,Middle Africa
Costa Rica,1985,18.2,75.37,3.46,2730231,7474782131,Americas,Central America
Cote d'Ivoire,1985,106.1,55.02,7.01,10158033,7830668715,Africa,Western Africa
Croatia,1985,15.7,71.54,1.92,4716117,NA,Europe,Southern Europe
Cuba,1985,15,74.57,1.84,10082990,35651318221,Americas,Caribbean
Cyprus,1985,12.2,75.95,2.46,703693,4428954211,Asia,Western Asia
Czech Republic,1985,15.1,71.48,1.97,10315676,NA,Europe,Eastern Europe
Denmark,1985,8,74.68,1.45,5113408,115344969038,Europe,Northern Europe
Djibouti,1985,103.8,59.38,6.22,423470,NA,Africa,Eastern Africa
Dominican Republic,1985,54.6,68.75,3.88,6488857,11583741531,Americas,Caribbean
Ecuador,1985,54.6,68.18,4.22,9045977,11649828670,Americas,South America
Egypt,1985,83.9,62.38,5.05,49373806,53336802407,Africa,Northern Africa
El Salvador,1985,59.5,61.24,4.49,4920932,7560289381,Americas,Central America
Equatorial Guinea,1985,140.1,46.92,5.85,314407,194293740.8,Africa,Middle Africa
Eritrea,1985,106,48.77,6.57,2756493,NA,Africa,Eastern Africa
Estonia,1985,19,69.97,2.19,1522477,NA,Europe,Northern Europe
Ethiopia,1985,132,35.43,7.44,40775997,4853203035,Africa,Eastern Africa
Fiji,1985,29.1,63.96,3.63,711663,1156375707,Oceania,Melanesia
Finland,1985,6,74.49,1.64,4902219,84154228856,Europe,Northern Europe
France,1985,8.5,75.67,1.84,55379923,931672923882,Europe,Western Europe
French Polynesia,1985,NA,67.27,3.74,175208,2186297273,Oceania,Polynesia
Gabon,1985,64.7,57.4,5.69,830091,4059059225,Africa,Middle Africa
Gambia,1985,91.3,58.21,6.22,732092,465810388,Africa,Western Africa
Georgia,1985,43.2,69.75,2.27,5287328,10500140176,Asia,Western Asia
Germany,1985,9.2,74.55,1.45,77570009,1323591207453,Europe,Western Europe
Ghana,1985,94.7,55.23,6.13,12716238,2583664542,Africa,Western Africa
Greece,1985,15.8,75.47,1.73,9907831,92809353506,Europe,Southern Europe
Greenland,1985,NA,63.42,2.24,53189,797291500.9,Americas,Northern America
Grenada,1985,19.4,68.83,4.23,99907,248928265.9,Americas,Caribbean
Guatemala,1985,73.2,61.72,5.91,8117499,11163106241,Americas,Central America
Guinea,1985,155.7,47.33,6.64,5078689,NA,Africa,Western Africa
Guinea-Bissau,1985,127.3,49.49,6.74,944941,154850025.8,Africa,Western Africa
Guyana,1985,50.8,63.21,2.6,765043,498163274.1,Americas,South America
Haiti,1985,114.3,52.42,6.03,6384196,NA,Americas,Caribbean
Honduras,1985,55.8,66.86,5.68,4237436,4407864388,Americas,Central America
"Hong Kong, China",1985,NA,76.28,1.5,5414790,79357655926,Asia,Eastern Asia
Hungary,1985,21.4,69.01,1.83,10572975,44054981903,Europe,Eastern Europe
Iceland,1985,6.1,77.85,2.15,241411,5785493496,Europe,Northern Europe
India,1985,100.6,56.81,4.28,782085127,207074611006,Asia,Southern Asia
Indonesia,1985,74,61.66,3.75,165012195,77353427295,Asia,South-Eastern Asia
Iran,1985,57.6,57.39,6.22,47290793,69396785741,Asia,Southern Asia
Iraq,1985,47.4,59.36,6.22,15576396,NA,Asia,Western Asia
Ireland,1985,8.9,74.84,2.45,3560225,NA,Europe,Northern Europe
Israel,1985,12.1,75.1,3.09,4082781,57668447133,Asia,Western Asia
Italy,1985,10.5,75.62,1.41,56910888,807399556378,Europe,Southern Europe
Jamaica,1985,29,74.79,3.31,2312337,5918249061,Americas,Caribbean
Japan,1985,5.5,77.8,1.72,119988663,3314639199737,Asia,Eastern Asia
Jordan,1985,35.7,69.75,6.58,2782885,5430272880,Asia,Western Asia
Kazakhstan,1985,49.9,68.07,3.02,15780002,NA,Asia,Central Asia
Kenya,1985,62.7,61.96,6.92,19660713,8015984910,Africa,Eastern Africa
Kiribati,1985,81.4,56.04,4.86,64006,44295200.06,Oceania,Micronesia
South Korea,1985,8.5,68.98,1.86,40501917,186569642627,Asia,Eastern Asia
Kuwait,1985,19.7,75.59,4.09,1735320,NA,Asia,Western Asia
Kyrgyz Republic,1985,64.4,64.86,4.09,4013498,NA,Asia,Central Asia
Lao,1985,123,48.54,6.36,3680145,770236660.5,Asia,South-Eastern Asia
Latvia,1985,16.8,69.72,2.13,2582079,9509215112,Europe,Northern Europe
Lebanon,1985,33.6,68.07,3.48,2676593,NA,Asia,Western Asia
Lesotho,1985,77.4,57.31,5.31,1467856,436478629.5,Africa,Southern Africa
Liberia,1985,156.7,48.58,6.88,2197442,1192866148,Africa,Western Africa
Libya,1985,45.5,71.09,6.58,3840635,NA,Africa,Northern Africa
Lithuania,1985,15.4,70.78,2.06,3563741,NA,Europe,Northern Europe
Luxembourg,1985,9.4,73.51,1.45,366884,8648106211,Europe,Western Europe
"Macao, China",1985,NA,74.03,2.04,296222,3144694280,Asia,Eastern Asia
"Macedonia, FYR",1985,45,70.26,2.4,1981532,NA,Europe,Southern Europe
Madagascar,1985,109.6,54.19,6.15,9981113,2852112776,Africa,Eastern Africa
Malawi,1985,146.9,47.6,7.55,7205635,1109129017,Africa,Eastern Africa
Malaysia,1985,18.6,70.45,3.66,15764340,33880956357,Asia,South-Eastern Asia
Maldives,1985,84.9,61.51,7.18,189551,NA,Asia,Southern Asia
Mali,1985,143.7,46.68,7.09,7831891,1357512080,Africa,Western Africa
Malta,1985,12.3,75.81,2.06,338348,1750703981,Europe,Southern Europe
Mauritania,1985,86.3,57.86,6.18,1766855,862270347.7,Africa,Western Africa
Mauritius,1985,23.7,68.26,2.25,1015763,1907760968,Africa,Eastern Africa
Mexico,1985,45.5,69.4,3.9,77322643,380378220215,Americas,Central America
"Micronesia, Fed. Sts.",1985,45.6,63.92,5.6,85689,NA,Oceania,Micronesia
Moldova,1985,32.9,66.83,2.64,4214911,3178309459,Europe,Eastern Europe
Mongolia,1985,94.6,60.22,5.35,1921885,950113943,Asia,Eastern Asia
Montenegro,1985,21.8,73.96,2.06,614011,NA,Europe,Southern Europe
Morocco,1985,77.2,64.14,4.94,22596133,23618587123,Africa,Northern Africa
Mozambique,1985,169.2,50.02,6.4,13102982,1916083654,Africa,Eastern Africa
Namibia,1985,57.1,60.27,5.89,1149389,2270268891,Africa,Southern Africa
Nepal,1985,119.7,54.17,5.51,16714335,2700326346,Asia,Southern Asia
Netherlands,1985,7.9,76.34,1.51,14471591,239144018447,Europe,Western Europe
New Caledonia,1985,NA,69.02,3.14,153929,1406746815,Oceania,Melanesia
New Zealand,1985,11.3,74.03,2.14,3268192,37135617884,Oceania,Australia and New Zealand
Nicaragua,1985,60.9,68.89,5.43,3709091,3337557583,Americas,Central America
Niger,1985,139.8,44.63,7.78,6838170,1329272303,Africa,Western Africa
Nigeria,1985,124.3,53.54,6.7,83901570,26956196167,Africa,Western Africa
Norway,1985,8.3,76.07,1.68,4148355,107488317889,Europe,Northern Europe
Oman,1985,50.4,68.35,8.22,1498416,10862047279,Asia,Western Asia
Pakistan,1985,114.8,60.43,6.41,92165065,37916775092,Asia,Southern Asia
Panama,1985,30.1,73.45,3.41,2219276,7333196891,Americas,Central America
Papua New Guinea,1985,70.2,55.08,5.21,3677854,2226300453,Oceania,Melanesia
Paraguay,1985,43.2,72.87,5.02,3671826,4897781398,Americas,South America
Peru,1985,70.7,65.8,4.36,19544950,39725750353,Americas,South America
Philippines,1985,49.8,65.95,4.71,54323651,48483117034,Asia,South-Eastern Asia
Poland,1985,17.8,70.78,2.27,37486105,NA,Europe,Eastern Europe
Portugal,1985,16.5,73.22,1.78,9929014,66462970413,Europe,Southern Europe
Puerto Rico,1985,NA,74,2.34,3369714,31189568233,Americas,Caribbean
Qatar,1985,23.7,73.51,4.93,371071,NA,Asia,Western Asia
Romania,1985,31.8,70.05,2.27,23103637,48165021730,Europe,Eastern Europe
Russia,1985,25,68.19,2.05,142975753,NA,Europe,Eastern Europe
Rwanda,1985,97.8,49.15,8.28,6117966,1556398946,Africa,Eastern Africa
St. Lucia,1985,22.2,69.7,3.89,126416,299478529.7,Americas,Caribbean
St. Vincent and the Grenadines,1985,28.1,68.68,3.33,104477,212063867.4,Americas,Caribbean
Samoa,1985,30.5,66.1,5.62,160030,185621605.9,Oceania,Polynesia
Saudi Arabia,1985,52.3,71.01,6.66,13361284,121759538480,Asia,Western Asia
Senegal,1985,80.8,54.45,7.09,6438024,3083642502,Africa,Western Africa
Serbia,1985,33.5,71.58,2.29,9253401,NA,Europe,Southern Europe
Seychelles,1985,17.5,69.3,3.19,69841,302379135.9,Africa,Eastern Africa
Sierra Leone,1985,160.4,53.14,6.89,3466044,966067608.2,Africa,Western Africa
Singapore,1985,8.8,72.87,1.61,2708634,31804986630,Asia,South-Eastern Asia
Slovak Republic,1985,19.4,70.89,2.22,5157959,26285694970,Europe,Eastern Europe
Slovenia,1985,12.3,71.63,1.74,1945136,NA,Europe,Southern Europe
Solomon Islands,1985,35.6,60.26,6.28,270809,NA,Oceania,Melanesia
South Africa,1985,55.1,59.78,4.29,32983013,102149590533,Africa,Southern Africa
Spain,1985,11.4,76.34,1.63,38734330,353440334465,Europe,Southern Europe
Sri Lanka,1985,25.2,69.97,2.9,16180776,8295059639,Asia,Southern Asia
Sudan,1985,84.6,57.81,6.47,17097619,5714852211,Africa,Northern Africa
Suriname,1985,45.9,68.98,3.34,371469,836172405.6,Americas,South America
Swaziland,1985,65.3,58.6,6.38,705492,608136990.3,Africa,Southern Africa
Sweden,1985,6.4,76.72,1.74,8350814,177267361611,Europe,Northern Europe
Switzerland,1985,7.3,76.99,1.54,6455680,194457298196,Europe,Western Europe
Syria,1985,37.4,68.51,6.36,10667245,10947826495,Asia,Western Asia
Tajikistan,1985,94.9,65.55,5.49,4540688,2087356037,Asia,Central Asia
Tanzania,1985,106.4,55.44,6.47,21842087,NA,Africa,Eastern Africa
Thailand,1985,38.3,68.36,2.57,52041468,48596267188,Asia,South-Eastern Asia
Timor-Leste,1985,157,52.51,5.34,657018,NA,Asia,South-Eastern Asia
Togo,1985,97.1,56.39,6.87,3252995,922369194.7,Africa,Western Africa
Tonga,1985,21.4,68.27,5.13,93953,140066096.5,Oceania,Polynesia
Trinidad and Tobago,1985,29.8,68.5,3.06,1170935,6686947974,Americas,Caribbean
Tunisia,1985,53.9,68.56,4.45,7321877,11720411663,Africa,Northern Africa
Turkey,1985,71.5,65.15,3.7,49178079,142072580798,Asia,Western Asia
Turkmenistan,1985,81.7,63.44,4.67,3229499,NA,Asia,Central Asia
Uganda,1985,117.2,52.09,7.1,14631089,2573407279,Africa,Eastern Africa
Ukraine,1985,19.3,69.47,2.05,50920778,NA,Europe,Eastern Europe
United Arab Emirates,1985,19.3,68.98,5.07,1350433,58162094454,Asia,Western Asia
United Kingdom,1985,9.7,74.51,1.81,56415196,941301820438,Europe,Northern Europe
United States,1985,10.6,74.79,1.84,240691557,6028650512184,Americas,Northern America
Uruguay,1985,25.3,71.97,2.53,3011907,13508809425,Americas,South America
Uzbekistan,1985,68.8,67.85,4.54,18174143,NA,Asia,Central Asia
Vanuatu,1985,38,59.87,5.21,130028,180038903.5,Oceania,Melanesia
Venezuela,1985,29.6,70.89,3.79,17508059,83824717711,Americas,South America
West Bank and Gaza,1985,45.6,69.23,6.7,1758788,NA,Asia,Western Asia
Vietnam,1985,42,67.77,4.21,61049370,11889376650,Asia,South-Eastern Asia
Yemen,1985,106.2,55.69,9.19,9774242,NA,Asia,Western Asia
Zambia,1985,105.6,55.54,6.8,7017292,2796368639,Africa,Eastern Africa
Zimbabwe,1985,53.6,64.86,6.22,8862601,4497003857,Africa,Eastern Africa
Albania,1986,43.2,72.96,3.18,3041003,3311132154,Europe,Southern Europe
Algeria,1986,50.9,68.04,5.75,23241276,44819051777,Africa,Northern Africa
Angola,1986,134.4,47.75,7.21,10023700,7420862520,Africa,Middle Africa
Antigua and Barbuda,1986,NA,72.42,2.08,64605,475029380.7,Americas,Caribbean
Argentina,1986,28.1,71.66,3.07,30857242,201255080490,Americas,South America
Armenia,1986,49.6,71.24,2.52,3396511,NA,Asia,Western Asia
Aruba,1986,NA,73.26,2.32,62644,NA,Americas,Caribbean
Australia,1986,9.1,76.08,1.87,16047026,255503272974,Oceania,Australia and New Zealand
Austria,1986,10,74.43,1.45,7610435,130049304257,Europe,Western Europe
Azerbaijan,1986,78.5,66.48,2.95,6779970,NA,Asia,Western Asia
Bahamas,1986,22.9,67.86,2.79,239132,4622427375,Americas,Caribbean
Bahrain,1986,20.5,70.98,4.25,433487,3752998517,Asia,Western Asia
Bangladesh,1986,114.4,55.96,5.33,95550798,25598704785,Asia,Southern Asia
Barbados,1986,18.8,71.85,1.81,256738,2048242625,Americas,Caribbean
Belarus,1986,15.4,71.66,2.08,10053975,NA,Europe,Eastern Europe
Belgium,1986,9.5,74.61,1.56,9903895,163354398789,Europe,Western Europe
Belize,1986,39.9,71.51,4.89,169570,308099392,Americas,Central America
Benin,1986,116.9,53.09,6.94,4414450,1382417879,Africa,Western Africa
Bhutan,1986,108.9,57.61,6.23,484151,162085319.8,Asia,Southern Asia
Bolivia,1986,96.8,58.96,5.07,6337893,5065751743,Americas,South America
Bosnia and Herzegovina,1986,22.1,76.89,1.93,4428460,NA,Europe,Southern Europe
Botswana,1986,43,62.7,5.39,1221668,2001416865,Africa,Southern Africa
Brazil,1986,59,66.18,3.31,139664639,490533225221,Americas,South America
Brunei,1986,10.7,72.69,3.76,229418,4663227406,Asia,South-Eastern Asia
Bulgaria,1986,18.8,71.63,1.98,8956741,14083127965,Europe,Eastern Europe
Burkina Faso,1986,107.1,51.28,7.12,7930690,1451618598,Africa,Western Africa
Burundi,1986,104.5,47.05,7.55,4936429,876836012.3,Africa,Eastern Africa
Cambodia,1986,86.6,56.49,6.16,7990133,NA,Asia,South-Eastern Asia
Cameroon,1986,89.4,57.48,6.67,10701458,10574478164,Africa,Middle Africa
Canada,1986,7.7,76.46,1.59,26181342,483141789896,Americas,Northern America
Cape Verde,1986,56.2,66.75,5.78,319161,237994645.6,Africa,Western Africa
Central African Republic,1986,115.6,50.21,5.93,2691312,844307119.6,Africa,Middle Africa
Chad,1986,120.4,52.81,7.16,5244158,976018811.4,Africa,Middle Africa
Chile,1986,18.6,71.8,2.66,12304203,30848376502,Americas,South America
China,1986,42,66.05,2.68,1071834975,331253600279,Asia,Eastern Asia
Colombia,1986,32.7,70.74,3.35,31669780,64194410101,Americas,South America
Comoros,1986,98.7,55.77,6.36,368443,170376071.3,Africa,Eastern Africa
"Congo, Dem. Rep.",1986,124,53.55,6.9,30829103,8048819672,Africa,Middle Africa
"Congo, Rep.",1986,61.8,55.79,5.68,2142529,2645936897,Africa,Middle Africa
Costa Rica,1986,17.3,75.66,3.43,2800986,7907194502,Americas,Central America
Cote d'Ivoire,1986,105.5,55.26,6.88,10548148,8085897519,Africa,Western Africa
Croatia,1986,14.8,71.78,1.89,4737949,NA,Europe,Southern Europe
Cuba,1986,14.1,74.62,1.84,10167998,35685295198,Americas,Caribbean
Cyprus,1986,11.3,76.12,2.46,712340,4593000516,Asia,Western Asia
Czech Republic,1986,14.7,71.42,1.95,10311350,NA,Europe,Eastern Europe
Denmark,1986,8,74.86,1.48,5113767,121053669414,Europe,Northern Europe
Djibouti,1986,101.2,59.74,6.21,451068,NA,Africa,Eastern Africa
Dominican Republic,1986,52.9,69.34,3.78,6626544,11991720124,Americas,Caribbean
Ecuador,1986,52.3,68.83,4.13,9272905,12124065290,Americas,South America
Egypt,1986,78.4,63.07,4.95,50748187,54748401321,Africa,Northern Africa
El Salvador,1986,56.2,62.54,4.37,4986528,7574608193,Americas,Central America
